Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Target
0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,1,0
2,2,1,2,2,0,0,0,0,0
3,2,2,1,2,1,1,0,0,0
4,2,0,1,3,2,1,1,0,0
5,2,3,1,1,2,0,1,0,0
6,2,4,3,4,0,1,1,2,0
7,1,1,1,1,1,0,0,3,1
8,2,3,0,3,0,0,1,4,1
9,2,0,1,1,1,0,0,0,1
5,2,5,1,1,1,1,0,5,1
10,0,0,1,3,1,2,0,0,1
11,2,0,0,0,3,0,1,6,0
12,2,6,0,5,0,1,0,4,0
13,2,7,1,6,1,2,0,0,1
14,2,8,1,7,1,3,0,3,0
15,1,1,0,8,3,0,0,7,0
12,2,1,0,9,4,0,0,0,0
2,2,2,1,5,1,0,0,4,0
16,1,3,2,1,4,0,1,3,1
13,2,9,1,3,1,0,0,8,1
17,2,1,4,4,4,1,1,9,0
18,3,4,1,8,1,1,0,0,0
16,2,2,1,7,1,0,0,0,0
19,2,1,2,10,4,0,1,0,0
20,4,0,1,10,1,0,0,0,1
21,2,1,0,6,3,0,0,0,0
17,5,5,1,11,1,2,0,8,1
0,2,1,2,1,0,0,0,5,0
6,2,1,1,6,1,0,0,0,0
11,4,6,0,12,0,0,0,10,0
22,2,5,0,5,3,1,0,11,0
23,2,0,2,1,3,0,0,0,0
10,3,5,1,0,3,0,0,0,0
24,0,5,1,4,1,1,0,12,0
25,2,2,0,9,4,0,0,0,0
26,2,5,0,9,3,0,0,0,0
21,2,1,5,0,2,0,1,13,0
8,2,5,1,5,1,0,0,14,1
25,1,6,1,3,1,0,0,0,0
8,2,4,1,9,1,0,0,15,0
3,1,0,1,3,1,0,0,0,0
27,2,0,1,10,1,0,0,4,0
6,2,1,4,0,4,0,1,0,0
15,2,1,0,2,0,0,0,7,0
28,3,0,1,3,1,1,0,0,1
3,2,1,1,9,1,0,0,14,0
29,2,3,2,1,4,0,1,0,0
30,0,7,1,6,1,0,0,0,0
31,2,7,0,3,0,0,0,15,0
15,2,5,1,1,2,4,1,0,0
32,2,1,0,4,3,0,1,6,0
33,2,10,1,3,2,0,1,8,1
1,3,0,2,1,0,0,0,16,1
33,6,1,2,1,0,0,0,8,0
16,2,5,1,10,1,0,0,0,1
34,2,11,1,9,1,0,0,0,0
18,2,7,1,4,1,0,0,0,0
30,2,1,1,0,1,0,0,17,0
10,2,1,1,9,1,0,0,0,0
10,2,0,1,5,1,0,0,0,0
12,5,8,3,11,0,0,0,0,0
25,2,1,1,7,1,0,0,0,0
9,2,9,1,3,1,0,0,3,1
31,2,5,2,10,0,0,0,18,0
35,2,1,1,6,1,0,0,0,0
4,2,5,2,0,0,0,1,0,0
3,2,1,1,0,2,0,1,0,1
6,6,5,1,1,1,0,0,4,1
15,5,5,0,11,3,0,0,0,0
21,2,5,0,3,3,0,0,19,0
8,2,0,4,5,3,1,1,0,0
31,1,0,1,5,1,0,0,20,1
11,2,5,0,9,0,0,0,0,0
36,2,5,1,3,5,0,0,9,0
37,2,1,0,4,3,0,0,0,0
13,2,6,1,0,1,0,0,0,0
38,5,12,1,11,1,0,0,21,0
32,2,2,0,4,3,0,1,22,0
8,4,8,1,8,1,0,0,0,0
32,2,1,0,5,0,0,0,6,0
7,2,0,1,4,1,0,0,0,0
34,2,1,1,4,2,0,1,0,0
19,2,1,1,5,1,0,0,17,0
29,2,1,2,6,0,0,1,0,1
3,2,1,2,5,3,0,1,7,0
6,4,1,1,12,1,0,0,0,1
39,2,3,1,3,1,0,0,4,0
10,2,4,0,5,0,0,0,0,0
16,3,9,0,3,0,0,1,4,1
28,2,7,1,3,1,0,0,0,0
5,2,5,2,6,4,0,1,0,0
4,2,5,2,9,4,1,1,13,0
10,2,1,1,5,2,2,1,7,0
14,4,0,1,12,1,0,0,0,1
31,4,5,0,2,0,0,0,4,0
25,1,9,1,3,1,0,0,8,1
5,2,5,1,5,1,0,0,17,1
25,2,6,2,1,4,0,1,0,0
12,3,1,0,4,3,1,0,0,0
40,2,3,1,1,1,0,0,0,1
29,2,0,1,1,1,0,0,8,1
33,1,3,0,3,0,0,1,4,0
22,2,5,0,10,3,0,1,0,0
31,2,1,0,6,0,0,0,0,0
12,6,1,1,6,1,0,0,0,1
41,5,12,0,11,3,0,1,19,0
10,2,2,0,2,3,0,0,0,0
8,4,1,0,0,0,0,1,0,0
9,2,1,1,2,1,0,0,0,0
27,2,0,0,5,5,0,0,0,0
2,2,10,1,3,1,0,0,0,1
20,1,1,1,4,1,0,0,4,1
4,2,5,1,5,2,0,1,13,0
35,2,1,0,9,3,0,1,0,0
3,2,4,1,2,1,0,0,4,0
20,6,5,1,5,1,0,0,4,0
6,4,7,1,6,1,1,0,0,1
42,2,5,1,5,1,0,0,23,0
24,2,1,0,6,0,0,0,24,0
26,2,5,0,4,3,0,1,0,0
13,2,0,1,1,1,0,0,8,0
10,2,0,0,1,3,1,0,0,0
31,0,0,1,3,1,0,0,4,1
21,2,5,0,4,3,1,0,7,0
33,2,0,1,1,2,0,1,0,1
22,2,5,0,0,3,0,1,25,0
8,2,6,1,0,1,0,0,0,1
18,5,1,1,11,1,0,0,0,0
0,2,5,2,6,0,0,0,0,0
4,2,6,0,5,0,0,1,8,0
27,2,1,0,4,0,0,1,0,0
2,1,1,1,6,1,0,0,7,0
5,2,0,1,5,1,0,0,4,0
34,2,6,2,10,0,1,1,26,0
2,3,3,1,3,1,0,0,0,1
16,1,1,1,6,1,0,0,8,0
